product_id,product_name,main_category,rating_num,rating_count_num,review_length_chars,sentiment_score,sentiment_label,positive_word_count,negative_word_count
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,4.2,24269.0,483,1.212678125181665,positive,12,2
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories,4.0,43994.0,1186,1.1338934190276817,positive,21,6
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories,3.9,7928.0,271,1.01418510567422,positive,7,1
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories,4.2,94363.0,443,0.875,positive,9,2
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories,4.2,16905.0,2451,0.8456262761307038,positive,27,11
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories,3.9,24871.0,250,1.0,positive,7,1
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories,4.1,15188.0,594,1.2493900951088486,positive,8,0
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories,4.3,30411.0,758,0.5,positive,6,1
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories,4.2,179691.0,3989,0.21576592600105154,positive,26,21
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories,4.0,43994.0,1186,1.1338934190276817,positive,21,6
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers&Accessories,4.3,13391.0,876,1.0126320796881558,positive,13,2
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers&Accessories,4.2,94363.0,443,0.875,positive,9,2
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,4.4,426973.0,901,0.7071067811865475,positive,12,4
B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers&Accessories,4.2,2262.0,766,0.9667364890456636,positive,10,0
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers&Accessories,4.1,4768.0,694,1.3,positive,15,2
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories,4.4,18757.0,439,1.3245323570650438,positive,11,1
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Electronics,4.2,32840.0,759,1.0891622972743418,positive,15,4
B082LSVT4B,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",Computers&Accessories,4.0,43994.0,1186,1.1338934190276817,positive,21,6
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",Computers&Accessories,4.1,13045.0,839,0.1841149235796647,positive,11,9
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Electronics,4.3,11976.0,434,1.099524999206747,positive,11,2
B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories,4.5,815.0,600,2.060839349277234,positive,19,0
B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",Electronics,3.7,10962.0,839,0.4622501635210242,positive,10,5
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),Electronics,4.3,16299.0,549,-0.5661385170722978,negative,3,8
