word,count
quality,2423
cable,1380
like,1243
phone,1077
charging,1015
nice,970
easy,948
battery,881
well,880
working,864
time,849
more,835
just,821
sound,769
best,765
other,735
watch,730
money,705
any,692
works,679
even,670
better,663
some,657
now,630
overall,630
fast,592
value,543
fine,540
about,539
don't,519
water,503
camera,498
out,488
while,483
does,469
need,466
screen,464
long,460
power,460
work,460
looks,439
worth,437
speed,430
same,430
little,429
range,429
bit,426
days,422
should,419
months,417
usb,410
off,407
without,397
review,393
charge,384
features,373
device,371
because,370
small,368
images,362
could,360
issue,356
usage,346
light,346
day,338
mobile,338
problem,334
over,332
charger,325
first,323
still,322
issues,319
life,317
quite,316
since,314
laptop,314
remote,314
original,312
enough,310
installation,308
build,301
experience,300
sturdy,298
media,297
few,297
low,296
mouse,296
box,295
high,294
may,291
purchase,290
want,288
performance,285
doesn't,285
service,285
less,283
display,281
picture,279
design,278
back,277
decent,276
update,272
two,272
look,271
size,267
bluetooth,267
budget,265
recommend,264
bass,263
bad,262
looking,262
noise,262
around,261
samsung,261
support,260
useful,260
feel,260
last,256
call,256
make,254
easily,253
both,252
however,251
https,249
com,249
many,249
jpg,246
thing,241
new,241
excellent,241
app,235
think,233
boat,233
comes,230
happy,230
average,230
expected,229
month,228
button,227
weight,224
made,223
length,222
most,222
see,222
side,221
i'm,221
available,220
again,219
heating,219
warranty,218
type,218
give,218
though,217
say,215
before,214
feature,214
video,214
plastic,214
far,210
amazing,210
normal,210
clean,209
room,208
brand,206
option,206
job,206
found,205
perfect,203
received,202
years,202
earphones,200
every,199
big,199
connect,197
such,197
times,197
buying,196
replacement,195
durable,194
under,194
data,193
smooth,193
can't,192
hours,192
backup,191
fit,190
keep,189
satisfied,188
old,188
point,187
properly,187
mode,185
know,184
compared,184
home,184
full,184
must,184
purchased,184
did,182
find,180
till,179
pretty,179
cost,179
purpose,179
audio,179
top,179
sometimes,177
awesome,177
feels,176
take,176
almost,175
otherwise,175
heavy,175
built,175
year,174
gets,174
once,174
etc,173
cons,173
super,173
minutes,173
connectivity,172
within,172
install,171
set,171
gaming,171
speaker,170
android,169
sure,169
didn't,168
wire,168
cheap,168
products,168
pros,167
delivery,167
item,166
wifi,166
company,165
heat,164
everything,164
seems,164
smart,163
hard,163
voice,162
always,161
touch,161
came,160
another,159
volume,159
takes,158
