sentiment_label,rating_band,product_rows,avg_rating
negative,<=3.0,3,2.6999999999999997
negative,3.1-3.5,7,3.3428571428571425
negative,3.6-4.0,11,3.8272727272727276
negative,4.1-4.5,13,4.269230769230769
negative,4.6-5.0,0,
neutral,<=3.0,2,2.7
neutral,3.1-3.5,12,3.3666666666666667
neutral,3.6-4.0,44,3.8454545454545452
neutral,4.1-4.5,26,4.219230769230769
neutral,4.6-5.0,0,
positive,<=3.0,5,2.7800000000000002
positive,3.1-3.5,39,3.4051282051282055
positive,3.6-4.0,412,3.8849514563106795
positive,4.1-4.5,861,4.251451800232288
positive,4.6-5.0,29,4.682758620689655
