year,rating_count,unique_users,unique_products,avg_rating,low_rating_rate
1998,4,4,3,4.5,0.0
1999,1212,1156,396,4.066006600660066,0.15016501650165018
2000,9214,7696,2223,4.11395702192316,0.13305838940742348
2001,14753,12369,3268,3.9284891208567747,0.18138683657561175
2002,18648,15607,4408,3.8501179751179753,0.2057057057057057
2003,23117,19016,5576,3.7616905307782154,0.23363758273132326
2004,31245,25819,7656,3.556024963994239,0.2879820771323412
2005,56311,46535,11581,3.6293441778693327,0.2628260908170695
2006,86659,72046,16675,3.738053750908734,0.23556699246471804
2007,193430,152616,30235,3.990291061365869,0.17004601147702011
2008,238521,184991,38088,3.9896738651942596,0.17262211713014786
2009,325380,249347,53113,3.9587651361485032,0.18140020898641587
2010,475626,359321,79225,3.916057995147448,0.19164427512373167
2011,783503,573879,115031,3.936794115657502,0.19135089463601287
2012,1231673,850187,160325,3.9924005803488427,0.18244534060582637
2013,2626582,1626424,250961,4.071210036465643,0.15825548183913543
2014,1708604,1132654,201316,4.053684762531283,0.16739103970258762
