amazon_record_id,product_id,product_name,main_category,sub_category,rating_num,rating_count_num,discount_percentage_num,estimated_revenue_proxy,review_length_chars,vader_compound_score,vader_sentiment_label,lda_topic_id,lda_topic_label,lda_topic_probability
1,B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,Accessories&Peripherals,4.2,24269.0,64,9683331.0,483,0.9033,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9850429714906349
2,B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories,Accessories&Peripherals,4.0,43994.0,43,8754806.0,1186,0.9853,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9958204297320347
3,B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories,Accessories&Peripherals,3.9,7928.0,90,1577672.0,271,0.6808,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9398466685883099
4,B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories,Accessories&Peripherals,4.2,94363.0,53,31045427.0,443,0.8316,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9849963517372795
5,B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories,Accessories&Peripherals,4.2,16905.0,61,2603370.0,2451,0.9809,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9962306422368878
6,B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories,Accessories&Peripherals,3.9,24871.0,85,3705779.0,250,0.6611,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9488328832291941
7,B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories,Accessories&Peripherals,4.1,15188.0,65,2682656.44,594,0.8735,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9665814092557693
8,B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories,Accessories&Peripherals,4.3,30411.0,23,6964119.0,758,0.9334,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9901118407358741
9,B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories,NetworkingDevices,4.2,179691.0,50,89665809.0,3989,0.9956,positive,1,"Topic 1: Value, Usability & Everyday Products",0.6219543495636052
10,B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories,Accessories&Peripherals,4.0,43994.0,33,8754806.0,1186,0.9853,positive,3,"Topic 3: Charging, Cables & Connectivity",0.9958204297320347
