topic_id,topic_label,word_rank,keyword,keyword_weight
1,"Topic 1: Value, Usability & Everyday Products",1,easy,870.2707027392966
1,"Topic 1: Value, Usability & Everyday Products",2,water,486.4905058239035
1,"Topic 1: Value, Usability & Everyday Products",3,money,416.38565334425397
1,"Topic 1: Value, Usability & Everyday Products",4,time,412.02663304868935
1,"Topic 1: Value, Usability & Everyday Products",5,value,315.05394415609385
1,"Topic 1: Value, Usability & Everyday Products",6,installation,294.04637134436564
1,"Topic 1: Value, Usability & Everyday Products",7,small,292.0735187542328
1,"Topic 1: Value, Usability & Everyday Products",8,mouse,289.61643534746906
1,"Topic 1: Value, Usability & Everyday Products",9,value money,280.4892079249166
1,"Topic 1: Value, Usability & Everyday Products",10,need,274.04317677716944
1,"Topic 1: Value, Usability & Everyday Products",11,fine,264.1108748065941
1,"Topic 1: Value, Usability & Everyday Products",12,little,263.9674521012372
2,"Topic 2: Smart Devices, Wearables & Audio",1,phone,900.1685805873886
2,"Topic 2: Smart Devices, Wearables & Audio",2,battery,787.80116603746
2,"Topic 2: Smart Devices, Wearables & Audio",3,watch,731.2975635122702
2,"Topic 2: Smart Devices, Wearables & Audio",4,sound,722.5595634501514
2,"Topic 2: Smart Devices, Wearables & Audio",5,camera,497.29053559884017
2,"Topic 2: Smart Devices, Wearables & Audio",6,screen,364.2734735750797
2,"Topic 2: Smart Devices, Wearables & Audio",7,features,319.35605953362335
2,"Topic 2: Smart Devices, Wearables & Audio",8,time,309.6002391474842
2,"Topic 2: Smart Devices, Wearables & Audio",9,better,303.81086983241437
2,"Topic 2: Smart Devices, Wearables & Audio",10,range,273.0980825418688
2,"Topic 2: Smart Devices, Wearables & Audio",11,display,270.86520087027213
2,"Topic 2: Smart Devices, Wearables & Audio",12,bluetooth,264.24034125696505
3,"Topic 3: Charging, Cables & Connectivity",1,cable,1353.9959521427973
3,"Topic 3: Charging, Cables & Connectivity",2,charging,886.7545764463217
3,"Topic 3: Charging, Cables & Connectivity",3,fast,434.8500243524676
3,"Topic 3: Charging, Cables & Connectivity",4,usb,385.2750651549542
3,"Topic 3: Charging, Cables & Connectivity",5,speed,259.47719187883104
3,"Topic 3: Charging, Cables & Connectivity",6,fast charging,247.1382438614852
3,"Topic 3: Charging, Cables & Connectivity",7,charger,243.15598153971388
3,"Topic 3: Charging, Cables & Connectivity",8,charge,231.75298341762368
3,"Topic 3: Charging, Cables & Connectivity",9,long,203.6280609556975
3,"Topic 3: Charging, Cables & Connectivity",10,original,201.73486513585718
3,"Topic 3: Charging, Cables & Connectivity",11,power,198.46723453478126
3,"Topic 3: Charging, Cables & Connectivity",12,phone,194.46723349061463
