product_id,product_name,main_category,rating_num,rating_count_num,sentiment_score,sentiment_label,sentiment_confidence,dominant_topic,topic_score,matched_topic_words,review_length_chars
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,4.2,24269.0,1.3339459376998313,positive,0.22058823529411764,Charging & Power,6,"charging, cable, fast",483
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories,4.0,43994.0,1.4362649974350634,positive,0.14285714285714285,Charging & Power,19,"cable, charging, usb, fast, port, power",1186
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories,3.9,7928.0,1.01418510567422,positive,0.22857142857142856,Product Quality & Durability,4,"working, durable, sturdy",271
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories,4.2,94363.0,1.0,positive,0.15625,Charging & Power,5,"cable, charger, fast, charging, type",443
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories,4.2,16905.0,0.9513295606470419,positive,0.09497206703910614,Charging & Power,33,"cable, charging, lightning, fast, charger, charge, battery, power",2451
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories,3.9,24871.0,1.3333333333333333,positive,0.2222222222222222,Charging & Power,2,"usb, charging",250
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories,4.1,15188.0,1.0932163332202425,positive,0.21951219512195122,Charging & Power,4,"charging, cable, watt",594
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories,4.3,30411.0,0.4,positive,0.06,Charging & Power,16,"cable, charging, watt, charge, charger, battery",758
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories,4.2,179691.0,0.6472977780031546,positive,0.07635009310986965,Compatibility & Usability,15,"connect, device, easy, connection, mobile, working, laptop, phone",3989
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories,4.0,43994.0,1.4362649974350634,positive,0.14285714285714285,Charging & Power,19,"cable, charging, usb, fast, port, power",1186
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers&Accessories,4.3,13391.0,1.0126320796881558,positive,0.1271186440677966,Charging & Power,17,"cable, fast, charging, usb, charger, adapter",876
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers&Accessories,4.2,94363.0,1.0,positive,0.15625,Charging & Power,5,"cable, charger, fast, charging, type",443
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,4.4,426973.0,1.0606601717798212,positive,0.109375,Charging & Power,3,cable,901
B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers&Accessories,4.2,2262.0,1.2567574357593625,positive,0.12149532710280374,Charging & Power,12,"cable, fast, charging, charger",766
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers&Accessories,4.1,4768.0,1.3,positive,0.17,Charging & Power,5,"charging, cable, charge",694
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers&Accessories,4.4,18757.0,1.3245323570650438,positive,0.21052631578947367,Charging & Power,10,"charging, fast, power, cable",439
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),Electronics,4.2,32840.0,1.1881770515720091,positive,0.17647058823529413,Product Quality & Durability,4,quality,759
B082LSVT4B,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",Computers&Accessories,4.0,43994.0,1.4362649974350634,positive,0.14285714285714285,Charging & Power,19,"cable, charging, usb, fast, port, power",1186
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",Computers&Accessories,4.1,13045.0,0.4602873089491617,positive,0.1440677966101695,Charging & Power,22,"cable, charging, port, fast, type, usb",839
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),Electronics,4.3,11976.0,1.2216944435630521,positive,0.208955223880597,Product Quality & Durability,2,quality,434
B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories,4.5,815.0,2.060839349277234,positive,0.2235294117647059,Product Quality & Durability,6,"quality, build",600
B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",Electronics,3.7,10962.0,0.4622501635210242,positive,0.1282051282051282,Product Quality & Durability,2,"working, quality",839
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),Electronics,4.3,16299.0,-0.22645540682891913,negative,0.10256410256410256,Product Quality & Durability,1,quality,549
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),Computers&Accessories,4.0,9378.0,0.9428090415820635,positive,0.1111111111111111,Charging & Power,5,"charging, fast",505
B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),Electronics,4.3,4703.0,1.4724700907550443,positive,0.08108108108108109,Compatibility & Usability,17,"connect, laptop, phone, compatible, works, mobile, connection, device",4919
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),Electronics,4.2,12153.0,0.9607689228305227,positive,0.10256410256410256,Product Quality & Durability,6,"quality, working",1181
B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),Electronics,4.2,34899.0,0.8444006618414982,positive,0.0855614973262032,Price & Value,12,"worth, affordable, price, cost, money, budget",3945
B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Computers&Accessories,4.0,2766.0,0.0,neutral,0.08275862068965517,Charging & Power,22,"charging, cable, fast, charger, lightning, type, power",943
B09W5XR9RT,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Computers&Accessories,4.4,184.0,2.2391714737574007,positive,0.2638888888888889,Product Quality & Durability,7,"durable, quality, sturdy",555
B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Computers&Accessories,4.3,20850.0,1.7795130420052185,positive,0.16666666666666666,Charging & Power,16,"charging, cable, fast, usb, battery",836
B00NH11PEY,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",Computers&Accessories,4.5,74976.0,0.8387421368293257,positive,0.06395348837209303,Charging & Power,19,"usb, cable, port, type",1254
B09CMM3VGK,"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",Computers&Accessories,4.0,1934.0,0.8669214468630108,positive,0.10559006211180125,Charging & Power,15,"cable, charging, charge, port, type",1092
